,Title,Console,Genre,Critic_Score,Total_Sales,NorthAmerica_Sales,Japan_Sales,EuropeAndAfrica_Sales,World_Sales,Release_Year
10927,Bomberman Jetters,GC,Puzzle,7.2,0.08,0.06,0.0,0.02,0.0,2004
10928,Me & My Katamari (JP sales),PSP,Puzzle,7.2,0.08,0.0,0.08,0.0,0.0,2006
10929,Puzzler Mind Gym 3D,3DS,Puzzle,7.2,0.08,0.07,0.0,0.0,0.01,2011
10930,SafeCracker: The Ultimate Puzzle Adventure,Wii,Puzzle,7.2,0.09,0.07,0.0,0.01,0.01,2008
10931,Duke Nukem: Land of the Babes,PS,Shooter,7.2,0.07,0.04,0.0,0.03,0.0,2000
10932,TimeSplitters: Future Perfect,GC,Shooter,8.4,0.08,0.06,0.0,0.02,0.0,2005
10933,America's Army: True Soldiers,X360,Shooter,4.5,0.09,0.08,0.0,0.0,0.01,2007
10934,Dragon Slayer: Eiyuu Densetsu,GEN,Role-Playing,4.5,0.08,0.0,0.08,0.0,0.0,1994
10935,Slayers Royal,PS,Role-Playing,4.5,0.09,0.0,0.08,0.0,0.01,1998
10936,Shining Resonance Refrain,PS4,Role-Playing,4.5,0.09,0.03,0.04,0.01,0.01,2018
10937,Final Fantasy VI,PS,Role-Playing,4.5,0.09,0.0,0.08,0.0,0.01,1999
10938,The Legend of Alon D'ar,PS2,Role-Playing,4.5,0.08,0.04,0.0,0.03,0.01,2001
10939,Earth Defense Force 2017,X360,Shooter,7.4,0.08,0.04,0.03,0.01,0.0,2007
10940,Real Robots Final Attack,PS,Shooter,7.4,0.08,0.0,0.07,0.0,0.01,1998
10941,ShellShock 2: Blood Trails,PS3,Shooter,7.4,0.08,0.04,0.0,0.03,0.01,2009
10942,Robotron X,PS,Shooter,7.4,0.09,0.05,0.0,0.03,0.01,1996
10943,Bulletstorm: Full Clip Edition,XOne,Shooter,7.4,0.07999999999999999,0.06,0.0,0.01,0.01,2017
10944,State of Emergency 2,PS2,Shooter,7.4,0.08,0.04,0.0,0.03,0.01,2006
10945,GoldenEye 007,DS,Shooter,5.5,0.08,0.08,0.0,0.0,0.0,2010
10946,Knife Edge: NoseGunner,N64,Shooter,5.5,0.08,0.06,0.0,0.02,0.0,1998
10947,Ultimate Shooting Collection,Wii,Shooter,5.5,0.07,0.07,0.0,0.0,0.0,2009
10948,Infernal: Hell's Vengeance,X360,Shooter,4.4,0.07999999999999999,0.06,0.0,0.01,0.01,2009
10949,Vietcong: Purple Haze,XB,Shooter,4.4,0.08,0.06,0.0,0.02,0.0,2004
10950,Gradius III and IV,PS2,Shooter,4.4,0.08,0.04,0.0,0.03,0.01,2000
10951,Famicom Mini: Star Soldier,GBA,Shooter,4.4,0.08,0.0,0.08,0.0,0.0,2004
10952,From Russia With Love,PSP,Shooter,4.4,0.08,0.07,0.0,0.0,0.01,2006
10953,Tempest 3X,PS,Shooter,4.4,0.08,0.04,0.0,0.03,0.01,1996
10954,Hidden Invasion,PS2,Shooter,4.4,0.08,0.04,0.0,0.03,0.01,2002
10955,Gradius Galaxies,GBA,Shooter,7.8,0.08,0.06,0.0,0.02,0.0,2001
10956,Conflict: Desert Storm,GC,Shooter,6.3,0.08,0.06,0.0,0.02,0.0,2003
10957,Far Cry Instincts Evolution,XB,Shooter,6.3,0.08,0.06,0.0,0.02,0.0,2006
10958,Medal of Honor: Underground,GBA,Shooter,6.3,0.07,0.05,0.0,0.02,0.0,2002
10959,P.N.03 - Product Number Three,GC,Shooter,6.3,0.08,0.06,0.0,0.02,0.0,2003
10960,Homefront: The Revolution,PC,Shooter,6.3,0.08,0.04,0.0,0.03,0.01,2016
10961,Endgame,PS2,Shooter,6.3,0.08,0.04,0.0,0.03,0.01,2002
10962,Bangai-O Spirits,DS,Shooter,8.4,0.08,0.07,0.0,0.0,0.01,2008
10963,Warhammer: Battle For Atluma,PSP,Action,8.4,0.08,0.07,0.0,0.0,0.01,2006
10964,Superman: Shadow of Apokolips,GC,Action,8.4,0.08,0.06,0.0,0.02,0.0,2003
10965,Sengoku Musou 3: Moushouden,Wii,Action,8.4,0.08,0.0,0.08,0.0,0.0,2011
10966,Puella Magi Madoka Magica: The Battle Pentagram,PSV,Action,8.4,0.08,0.0,0.08,0.0,0.0,2013
10967,Tom Clancy's Splinter Cell: Pandora Tomorrow,GC,Action,6.7,0.08,0.06,0.0,0.02,0.0,2004
10968,Knights Contract,X360,Action,5.0,0.09,0.05,0.0,0.03,0.01,2011
10969,Dynasty Warriors 9,XOne,Action,5.0,0.07999999999999999,0.06,0.0,0.01,0.01,2018
10970,Order Up!!,PS3,Action,5.0,0.07999999999999999,0.06,0.0,0.01,0.01,2012
10971,Knights in the Nightmare,DS,Role-Playing,7.5,0.08,0.06,0.02,0.0,0.0,2009
10972,Nights of Azure,PSV,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2016
10973,Zoids: Legacy,GBA,Role-Playing,7.5,0.08,0.06,0.0,0.02,0.0,2004
10974,Kamen Rider Travelers Record,3DS,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2013
10975,Dungeon Maker II: The Hidden War,PSP,Role-Playing,7.5,0.08,0.07,0.0,0.0,0.01,2008
10976,Risen 3: Titan Lords,PS3,Role-Playing,7.5,0.08,0.02,0.0,0.05,0.01,2014
10977,Blacksite: Area 51,PS3,Shooter,7.5,0.09,0.07,0.0,0.01,0.01,2007
10978,Mad Dog McCree: Gunslinger Pack,Wii,Shooter,7.5,0.08,0.07,0.0,0.0,0.01,2009
10979,The Legend of Heroes: Trails in the Sky First Chapter,PSV,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2015
10980,PoPoLoCrois (JP sales),PSP,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2005
10981,Ken to Mahou to Gakuen Mono. 2,PSP,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2009
10982,Gintama Gin-Oh Quest: Gin-San ga Tenshoku Shitari Sekai wo Sukuttari,DS,Role-Playing,7.5,0.08,0.0,0.08,0.0,0.0,2007
